# ja/nein/Enthaltung/ungueltig/nichtabgegeben: votes cast in each category across all Abstimmungen in range
# total_votes: sum of the above
# ratio_*: category / total_votes (weighted per vote, so a day with many bundled votes counts more)
# days_present/days_total/days_absent: sitting days attended/total/missed
#   (a day counts as attended if the member cast a real vote on at least one Abstimmung that day)
# ratio_days_present/ratio_days_absent: days_present/days_absent divided by days_total (weighted per day, not per vote)
Fraktion/Gruppe;Vorname;Name;ja;nein;Enthaltung;ungültig;nichtabgegeben;total_votes;ratio_ja;ratio_nein;ratio_Enthaltung;ratio_ungültig;ratio_nichtabgegeben;days_present;days_total;days_absent;ratio_days_present;ratio_days_absent;slug
CDU/CSU;Thomas;Viesehon;15;5;0;0;0;20;0.75;0.25;0.0;0.0;0.0;7;7;0;1.0;0.0;thomas-viesehon
DIE LINKE.;Eva-Maria Elisabeth;Schreiber;5;35;0;0;0;40;0.125;0.875;0.0;0.0;0.0;15;15;0;1.0;0.0;eva-maria-elisabeth-schreiber
DIE LINKE.;André;Hahn;71;144;29;0;0;244;0.29098360655737704;0.5901639344262295;0.11885245901639344;0.0;0.0;101;101;0;1.0;0.0;andre-hahn
CDU/CSU;Wolfgang;Stefinger;162;82;0;0;0;244;0.6639344262295082;0.3360655737704918;0.0;0.0;0.0;101;101;0;1.0;0.0;wolfgang-stefinger
CDU/CSU;Tim;Ostermann;16;8;1;0;0;25;0.64;0.32;0.04;0.0;0.0;9;9;0;1.0;0.0;tim-ostermann
SPD;Dirk;Vöpel;164;80;0;0;0;244;0.6721311475409836;0.32786885245901637;0.0;0.0;0.0;101;101;0;1.0;0.0;dirk-vopel
AfD;Florian;Jäger;1;2;0;0;0;3;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;2;2;0;1.0;0.0;florian-jager
FDP;Johannes;Vogel (Lüdenscheid);8;3;0;0;0;11;0.7272727272727273;0.2727272727272727;0.0;0.0;0.0;3;3;0;1.0;0.0;johannes-vogel-ludenscheid
FDP;Katharina;Kloke;22;9;1;0;0;32;0.6875;0.28125;0.03125;0.0;0.0;11;11;0;1.0;0.0;katharina-kloke
SPD;Marja-Liisa;Völlers;164;80;0;0;0;244;0.6721311475409836;0.32786885245901637;0.0;0.0;0.0;101;101;0;1.0;0.0;marja-liisa-vollers
CDU/CSU;Susanne;Wetterich;3;0;0;0;0;3;1.0;0.0;0.0;0.0;0.0;2;2;0;1.0;0.0;susanne-wetterich
FDP;Konstantin Elias;Kuhle;8;3;0;0;0;11;0.7272727272727273;0.2727272727272727;0.0;0.0;0.0;3;3;0;1.0;0.0;konstantin-elias-kuhle
CDU/CSU;Sepp;Müller;162;81;1;0;0;244;0.6639344262295082;0.3319672131147541;0.004098360655737705;0.0;0.0;101;101;0;1.0;0.0;sepp-muller
DIE LINKE.;Zeki;Gökhan;0;3;0;0;0;3;0.0;1.0;0.0;0.0;0.0;2;2;0;1.0;0.0;zeki-gokhan
