date;CDU/CSU;SPD;AfD;FDP;Die Linke;BÜ90/GR;Fraktionslos
20171212;246;153;92;80;69;67;2
20171213;246;153;92;80;69;67;2
20180201;246;153;92;80;69;67;2
20180222;246;153;92;80;69;67;2
20180316;246;153;92;80;69;67;2
20180322;246;153;92;80;69;67;2
20180426;246;153;92;80;69;67;2
20180517;246;153;92;80;69;67;2
20180607;246;153;92;80;69;67;2
20180614;246;153;92;80;69;67;2
20180615;246;153;92;80;69;67;2
20180628;246;153;92;80;69;67;2
20180629;246;153;92;80;69;67;2
20180704;246;153;92;80;69;67;2
20180705;246;153;92;80;69;67;2
20181018;246;153;92;80;69;67;2
20181019;246;153;92;80;69;67;2
20181108;246;153;92;80;69;67;2
20181121;246;153;92;80;69;67;2
20181123;246;153;92;80;69;67;2
20181129;246;152;92;80;69;67;3
20181130;246;152;92;80;69;67;3
20181213;246;152;92;80;69;67;3
20190118;246;152;91;80;69;67;4
20190221;246;152;91;80;69;67;4
20190314;246;152;91;80;69;67;4
20190315;246;152;91;80;69;67;4
20190320;246;152;91;80;69;67;4
20190321;246;152;91;80;69;67;4
20190411;246;152;91;80;69;67;4
20190509;246;152;91;80;69;67;4
20190516;246;152;91;80;69;67;4
20190517;246;152;91;80;69;67;4
20190606;246;152;91;80;69;67;4
20190607;246;152;91;80;69;67;4
20190628;246;152;91;80;69;67;4
20190926;246;152;91;80;69;67;4
20191017;246;151;91;80;69;67;4
20191018;246;151;91;80;69;67;4
20191024;246;151;91;80;69;67;4
20191107;246;152;91;80;69;67;4
20191113;246;152;91;80;69;67;4
20191114;246;152;91;80;69;67;4
20191115;246;152;91;79;69;67;4
20191126;246;152;91;79;69;67;4
20191127;246;152;91;79;69;67;4
20191129;246;152;91;79;69;67;4
20191219;246;152;90;80;69;67;5
20191220;246;152;90;80;69;67;5
20200115;246;152;90;80;69;67;5
20200116;246;152;90;80;69;67;5
20200117;246;152;90;80;69;67;5
20200130;246;152;89;80;69;67;6
20200304;246;152;89;80;69;67;6
20200313;246;152;89;80;69;67;6
20200325;246;152;89;80;69;67;6
20200507;246;151;89;80;69;67;6
20200514;246;152;89;80;69;67;6
20200527;246;152;89;80;69;67;6
20200529;246;152;89;80;69;67;6
20200617;246;152;89;80;69;67;6
20200618;246;152;89;80;69;67;6
20200619;246;152;89;80;69;67;6
20200702;246;152;89;80;69;67;6
20200703;246;152;89;80;69;67;6
20200910;246;152;89;80;69;67;6
20200916;246;152;89;80;69;67;6
20200917;246;152;89;80;69;67;6
20200918;246;152;89;80;69;67;6
20201008;246;152;89;80;69;67;6
20201009;246;152;89;80;69;67;6
20201029;246;151;89;80;69;67;6
20201030;246;151;89;80;69;67;6
20201118;246;151;89;80;69;67;6
20201119;246;151;89;80;69;67;6
20201126;246;152;89;80;69;67;6
20201208;246;152;89;80;69;67;6
20201209;246;152;89;80;69;67;6
20201211;246;152;89;80;69;67;6
20201216;246;152;88;80;69;67;7
20201217;246;152;88;80;69;67;7
20210114;246;152;88;80;69;67;7
20210128;246;152;88;80;69;67;7
20210129;246;152;88;80;69;67;7
20210225;246;152;88;80;69;67;7
20210303;246;152;88;80;69;67;7
20210304;246;152;88;80;69;67;7
20210325;244;152;88;80;69;67;8
20210326;244;152;88;80;69;67;8
20210414;245;152;88;80;69;67;8
20210421;245;152;88;80;69;67;8
20210423;245;152;88;80;69;67;8
20210506;245;152;88;80;69;67;8
20210507;245;152;88;80;69;67;8
20210519;245;152;88;80;69;67;8
20210520;245;152;88;80;69;67;8
20210610;245;152;88;80;69;67;8
20210611;245;152;88;80;69;67;8
20210624;245;152;88;80;69;67;8
20210825;245;152;86;80;69;67;10
20210907;245;152;87;80;69;67;9
