date;AfD;BSW;BÜ90/GR;CDU/CSU;Die Linke;FDP;Fraktionslos;SPD
20211118;82;0;118;197;39;92;2;206
20211210;82;0;118;197;39;92;2;206
20220127;80;0;118;197;39;92;4;206
20220128;80;0;118;197;39;92;4;206
20220317;80;0;118;197;39;92;4;206
20220318;80;0;118;197;39;92;4;206
20220407;80;0;118;197;39;92;4;206
20220428;80;0;118;197;39;92;4;206
20220429;80;0;118;197;39;92;4;206
20220519;80;0;118;197;39;92;4;206
20220520;80;0;118;197;39;92;4;206
20220601;80;0;118;197;39;92;4;205
20220603;80;0;118;197;39;92;4;205
20220623;80;0;118;197;39;92;4;206
20220707;80;0;118;197;39;92;4;206
20220708;80;0;118;197;39;92;4;206
20220908;80;0;118;197;39;92;4;206
20220922;79;0;118;197;39;92;5;206
20220928;79;0;118;197;39;92;5;205
20220930;79;0;118;197;39;92;5;205
20221013;79;0;118;197;39;92;5;206
20221020;79;0;118;197;39;92;5;206
20221021;79;0;118;197;39;92;5;206
20221110;79;0;118;197;39;92;5;206
20221111;79;0;118;197;39;92;5;206
20221123;78;0;118;197;39;92;6;206
20221124;78;0;118;197;39;92;6;206
20221125;78;0;118;197;39;92;6;206
20221201;78;0;118;197;39;92;6;206
20221202;78;0;118;197;39;92;6;206
20221215;78;0;118;197;39;92;6;206
20230317;78;0;118;197;39;92;6;206
20230329;78;0;118;197;39;92;6;206
20230330;78;0;118;197;39;92;6;206
20230331;78;0;118;197;39;92;6;206
20230419;78;0;118;197;39;92;6;206
20230420;78;0;118;197;39;92;6;206
20230426;78;0;118;197;39;92;6;206
20230428;78;0;118;197;39;92;6;206
20230510;78;0;118;197;39;92;6;206
20230511;78;0;118;197;39;92;6;206
20230512;78;0;118;197;39;92;6;206
20230526;78;0;118;197;39;92;6;206
20230615;78;0;118;197;39;92;6;206
20230623;78;0;118;197;39;92;6;206
20230706;78;0;118;197;39;92;6;206
20230707;78;0;118;197;39;92;6;206
20230908;78;0;118;197;39;92;6;206
20230920;78;0;118;197;39;92;6;206
20230921;78;0;118;197;39;92;6;206
20230928;78;0;118;197;39;92;6;206
20231018;78;0;118;197;38;92;6;207
20231020;78;0;118;197;38;92;6;207
20231110;78;0;118;197;38;92;6;207
20231116;78;0;118;197;38;92;6;207
20231117;78;0;118;197;38;92;6;207
20231130;78;0;118;197;38;92;6;207
20231201;78;0;118;197;38;92;6;207
20231215;78;0;118;197;0;92;44;207
20240117;78;0;118;197;0;92;44;207
20240118;78;0;118;197;0;92;44;207
20240119;78;0;118;197;0;92;44;207
20240131;78;0;118;197;0;92;44;207
20240201;78;0;118;197;0;92;44;207
20240202;78;0;118;197;0;92;44;207
20240222;78;10;118;197;28;92;6;207
20240223;78;10;118;197;28;92;6;207
20240314;78;10;118;197;28;91;6;207
20240320;78;10;118;197;28;91;6;207
20240321;78;10;118;197;28;91;6;207
20240412;77;10;118;196;28;91;7;207
20240425;77;10;118;196;28;91;7;207
20240426;77;10;118;196;28;91;7;207
20240516;77;10;118;196;28;91;7;207
20240605;77;10;118;194;28;91;7;207
20240606;77;10;118;194;28;91;7;207
20240613;77;10;118;195;28;91;7;207
20240627;77;10;118;195;28;91;7;207
20240705;77;10;117;195;28;91;8;207
20241017;76;10;117;196;28;91;8;207
20241018;76;10;117;196;28;91;8;207
20241216;76;10;117;196;28;90;9;207
20241219;76;10;117;196;28;90;9;207
20250129;76;10;117;196;28;90;9;207
20250130;76;10;117;196;28;90;9;207
20250131;76;10;117;196;28;90;9;207
20250318;76;10;117;196;28;90;9;207
