date;CDU/CSU;AfD;SPD;BÜ90/GR;Die Linke;Fraktionslos
20250625;208;151;120;85;64;2
20250626;208;151;120;85;64;2
20250627;208;151;120;85;64;2
20250710;208;151;120;85;64;2
20250911;208;151;120;85;64;2
20250917;208;151;120;85;64;2
20250918;208;151;120;85;64;2
20251008;208;151;120;85;64;2
20251016;208;151;120;85;64;2
20251106;208;151;120;85;64;2
20251113;208;151;120;85;64;2
20251126;208;151;120;85;64;2
20251128;208;151;120;85;64;2
20251203;208;151;120;85;64;2
20251204;208;151;120;85;64;2
20251205;208;151;120;85;64;2
20251218;208;151;120;85;64;2
20251219;208;151;120;85;64;2
20260129;208;151;120;85;64;2
20260227;208;151;120;85;64;2
20260305;208;150;120;85;64;3
20260325;208;150;119;85;64;3
20260326;208;150;119;85;64;3
20260424;208;150;120;85;64;3
20260508;208;150;120;85;64;3
20260522;206;150;120;85;64;3
20260611;208;150;120;85;64;3
20260612;208;150;120;85;64;3
20260625;208;150;120;85;64;3
20260708;208;150;120;85;64;3
20260709;208;150;120;85;64;3
20260710;208;150;120;85;64;3
